question,document_created,topic
"What is the fees structure of this course to complete BS degree?",fees-complete-structure.md,Fee Structure
"What is the total fees covering all the levels for BS Degree for Jan 2026 batch?",fees-complete-structure.md,Fee Structure
"How much is the fees for Qualifier exam?",fees-complete-structure.md,Fee Structure
"What is the Qualifier Exam fee and is there a fee waiver or scholarship?",fees-complete-structure.md,Fee Structure
"Can I pay the full fees together?",fees-complete-structure.md,Fee Structure
"Course fees for the program",fees-complete-structure.md,Fee Structure
"How many terms are there in a year?",terms-duration-schedule.md,Terms/Duration
"When is qualifier exam this year?",terms-duration-schedule.md,Terms/Duration
"Why there is a gap between course registration and term start?",terms-duration-schedule.md,Terms/Duration
"What is last date for registration for BS degree?",terms-duration-schedule.md,Terms/Duration
"I am 2024 JEE mains cleared student can apply on May 2026 batch for BS degree?",jee-entry-validity.md,JEE Entry
"I had completed my JEE Mains in 2023 and qualified for JEE Advance, can I apply now?",jee-entry-validity.md,JEE Entry
"How can I change the uploaded documents for JEE advance eligibility test?",jee-entry-validity.md,JEE Entry
"How to register for the BS in Electronic systems?",bs-electronic-systems.md,Electronic Systems
"I'm unable to write the qualifier exam, will I get my money back?",refund-policy.md,Refund Policy
"Can I get a refund if I don't want the course anymore?",refund-policy.md,Refund Policy
"I am from Sri Lanka, unable to pay showing error",international-students-guide.md,International Students
"I am from Sri Lanka, facing payment error",international-students-guide.md,International Students
"What is IITM's academic policy on students from OBC?",category-cutoffs-relaxations.md,Category Cutoffs
"I selected the category as OBC-NCL instead of General. Can this be corrected?",category-cutoffs-relaxations.md,Category Cutoffs
"What is the requirement for BSc and BS degree credit wise?",program-structure-levels.md,Program Structure
"Is the BS degree equivalent to the BTech degree?",program-structure-levels.md,Program Structure
"I didn't complete my 10th and 12th grade, will I be eligible for qualifier exam?",class-12-eligibility.md,Eligibility
"Can I write qualifier exam but I didn't complete the 12th grade?",class-12-eligibility.md,Eligibility
"Can commerce or non-science students apply?",class-12-eligibility.md,Eligibility
"I am already pursuing another degree. Can I apply?",working-professionals-parallel-study.md,Working Professionals
"Is coaching required to clear the qualifier?",working-professionals-parallel-study.md,Working Professionals
"Can I clear qualifier with self-study?",working-professionals-parallel-study.md,Working Professionals
"Who should I contact for qualifier-related issues?",contact-support-help.md,Contact/Support
"Fees pay karne ke liye kis se milna hai?",contact-support-help.md,Contact/Support
"Is Aadhaar mandatory for qualifier exam entry?",exam-format-proctoring.md,Exam Format
"Is the qualifier exam online or offline?",exam-format-proctoring.md,Exam Format
"Can I take Math 2 if I have U grade in Math 1?",u-grade-reregistration.md,U Grade
"What does U grade mean? How do I clear a U grade subject?",u-grade-reregistration.md,U Grade
"How do I register for foundation level courses after passing the qualifier?",course-registration-foundation.md,Registration
"What should I do after clearing the qualifier?",course-registration-foundation.md,Registration
